WINDOW,SIZE,MIN_COUNT,NEGATIVE,hit_rate
10,50,5,5,0.06239558500553751
10,50,3,5,0.06222664389090158
10,50,4,5,0.06218910142098249
10,50,5,10,0.061513336962438755
10,50,4,10,0.06104405608845006
10,50,3,10,0.060537232744542264
5,50,4,5,0.05770277626565052
5,50,3,5,0.05749629268109549
5,50,5,5,0.055881966474574364
5,50,5,10,0.05537514313066657
5,50,4,10,0.05483077731683968
5,50,3,10,0.05423009779813414
10,75,4,5,0.050363223396467253
10,75,5,5,0.050006569932235845
10,75,3,5,0.04873012595498658
10,75,5,10,0.04859872731026974
10,75,4,10,0.04826084508099788
10,75,3,10,0.04696562986878907
5,75,3,5,0.04386837610046365
5,75,4,5,0.04360557881102998
5,75,5,5,0.04266701706305258
5,75,5,10,0.041916167664670656
10,100,5,5,0.040940063446774165
5,75,3,10,0.040771122332138234
5,75,4,10,0.04054586751262366
10,100,4,5,0.040245527753270886
10,100,3,5,0.03992641675895857
10,100,4,10,0.03887522760122388
10,100,5,10,0.03846226043211383
10,100,3,10,0.03818069190772061
5,100,5,5,0.0373172150995814
5,100,3,5,0.03692301916543089
5,100,4,5,0.03682916299063315
5,100,5,10,0.03480186961500197
5,100,3,10,0.033713137987348187
5,100,4,10,0.033713137987348187
10,150,5,5,0.03298105982392582
10,150,4,5,0.03268072006457305
10,150,3,5,0.032361609070260734
5,150,5,5,0.032080040545867515
5,150,4,5,0.03204249807594842
5,150,3,5,0.03185478572635294
10,150,5,10,0.030127832110074523
10,150,4,10,0.029452067651530793
10,150,3,10,0.029358211476733054
5,150,5,10,0.02770634280029283
5,150,4,10,0.02763125786045464
5,150,3,10,0.02751863045069735
