WINDOW,SIZE,MIN_COUNT,NEGATIVE,hit_rate
5,20,3,5,0.06190753289658927
5,20,3,7,0.06162596437219605
5,20,3,10,0.06130685337788373
5,20,4,5,0.061926304131548815
5,20,4,7,0.06181367672179153
5,20,4,10,0.061344395847802824
5,20,5,5,0.06175736301691288
5,20,5,7,0.061926304131548815
5,20,5,10,0.06063108891934001
5,32,3,5,0.06226418636082068
5,32,3,7,0.062282957595780224
5,32,3,10,0.06177613425187243
5,32,4,5,0.062376813770577966
5,32,4,7,0.06263961106001163
5,32,4,10,0.06173859178195334
5,32,5,5,0.06194507536650836
5,32,5,7,0.06175736301691288
5,32,5,10,0.06179490548683198
10,20,3,5,0.06232050006569932
10,20,3,7,0.06260206859009254
10,20,3,10,0.06215155895106339
10,20,4,5,0.06252698365025434
10,20,4,7,0.06292117958440485
10,20,4,10,0.06280855217464756
10,20,5,5,0.06295872205432396
10,20,5,7,0.06260206859009254
10,20,5,10,0.06286486587952621
10,32,3,5,0.06459181949580463
10,32,3,7,0.06459181949580463
10,32,3,10,0.06492970172507649
10,32,4,5,0.06429147973645186
10,32,4,7,0.06492970172507649
10,32,4,10,0.0648921592551574
10,32,5,5,0.06476076061044056
10,32,5,7,0.06564300865353932
10,32,5,10,0.06560546618362022
