"sku","name","url","price","in_stock","image_url","categories"
"sku","name","url",,,"image_url","categories"
"182491","Magic Black Powder Eye & Cheek Patch","https://www.sephora.com.au/products/caolion-magic-black-powder-eye-and-cheek-patch/v/default-182491","9.0","true","https://static-reg.lximg.com/images/product_images/default_CAOLION_Magic_Black_Powder_Eye___Cheek_Patch_Default_215d767c7130361777f3e9077afc09b8d6f94aa0_1542268578.png","skincare|masks-and-treatments|eye-care|caolion"
"",,,,,,
"""","9","false",,,"caolion-magic-black-powder-eye-and-cheek-patch","3.5"
"20370","Volume Conditioner ","https://www.sephora.com.au/products/ouai-volume-conditioner-250ml/v/volume","43.0","true","https://static-reg.lximg.com/images/product_images/default_20370_Ouai_WEB_47a95da8273b51c8dc292254bb9fa605a71f9588_1523777569.png","hair|shampoo-and-conditioner|conditioner|ouai"
"201864","Temporary Colour Gel","https://www.sephora.com.au/products/christophe-robin-temporary-colour-gel/v/dark-chestnut","51.0","true","https://static-reg.lximg.com/images/product_images/default_1_Product_201864_20Christophe_20Robin_20Temporary_20Colour_20Gel_20Dark_20Chestnut_b121e9cb15ae9b612ddc881757aa55cfecfa3907_1542878378.png","hair|styling|hair-colour|christophe-robin"
"201861","Temporary Colour Gel","https://www.sephora.com.au/products/christophe-robin-temporary-colour-gel/v/golden-blonde","51.0","true","https://static-reg.lximg.com/images/product_images/default_1_Product_201861_20Christophe_20Robin_20Temporary_20Colour_20Gel_20Golden_20Blonde_211b46e648c4bab5d5758aaa6b3cb0d80973c94e_1542878359.png","hair|styling|hair-colour|christophe-robin"
"201863","Temporary Colour Gel","https://www.sephora.com.au/products/christophe-robin-temporary-colour-gel/v/light-chestnut","51.0","false","https://static-reg.lximg.com/images/product_images/default_1_Product_201863_20Christophe_20Robin_20Temporary_20Colour_20Gel_20Light_20Chestnut_3d8ce5e7de000cb22072288a994cd5a541b579f5_1542878372.png","hair|styling|hair-colour|christophe-robin"
"201862","Temporary Colour Gel","https://www.sephora.com.au/products/christophe-robin-temporary-colour-gel/v/dark-blonde","51.0","true","https://static-reg.lximg.com/images/product_images/default_1_Product_201862_20Christophe_20Robin_20Temporary_20Colour_20Gel_20Dark_20Blonde_8c3c10add5bbb5d1d4334d3aae2fd3f5b7778bb4_1542878366.png","hair|styling|hair-colour|christophe-robin"
"23112","Pep-Start HydroBlur Moisturizer ","https://www.sephora.com.au/products/clinique-pep-start-hydroblur-moisturizer-50ml/v/default","45.0","true","https://static-reg.lximg.com/images/product_images/default_23112_Clinique_Web_b84ce52a92402f34522177ed668d85a73245ecd4_1523777789.png","skincare|moisturiser|day-moisturiser|clinique"
